tid,ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
159107668,289.73973,44.647347,2.831,-10.813,4.7802597,1.4588658,1015.4550043,7.6126429,1770.0151344,1654.2989516,11.1634,546.522,5826.0,3.7213,2.3387201
198212955,248.553295,60.195927,1.525,-39.808,0.3814849,0.565,570.0,2.0605,931.396,1539.0,11.598,110.015,4255.0,4.55641,0.71
219698776,135.732641,71.636416,-100.404,-142.946,4.6595169,0.9011821,1725.1706259,2.1961507,17.2664038,519.9004855,11.1966,43.1865,3489.0,4.74553,0.490729
229781583,283.53553,69.633534,-9.435,54.067,4.8204512,1.756,1930.0,2.36747,17.8782,572.0,12.1819,80.0982,3692.0,4.71598,0.52
52368076,23.593425,-66.676349,-119.8,-122.953,,4.6235211,738.7670156,2.9700035,11.0661868,465.178087,10.1985,111.059,5154.0,4.47072,0.852266
233120979,273.529238,62.858243,-17.9,-3.0,5.9630544,2.951,11000.0,10.0859,112.667,,10.6479,185.952,5273.0,4.438,0.94
233211762,266.686079,70.784502,-10.63,26.99,1.1219715,0.8226121,3997.6445916,3.9968417,1132.461295,1479.5361862,12.0623,123.8346,5780.0,4.67672,0.624
236714379,239.201466,65.888838,-13.864,-39.587,1.0180114,1.1353639,2618.9492168,6.5875997,2488.20146,1801.3210938,10.794,199.039,5451.0,4.33923,1.0933
288132261,209.484313,79.583322,-30.956,30.681,10.2613397,4.855,726.0,3.60391,372.358,1152.0,9.13619,154.944,6124.0,4.15391,1.49
356311210,268.016064,53.730699,-4.385,18.216,18.0574016,3.592177,1198.0572128,3.8092663,58.1250403,704.2235859,10.6965,199.964,5897.0,4.45922,1.01
365938305,180.726502,74.061009,-168.724,-29.722,20.8774413,3.562,771.0,2.16145,17.8402,572.0,9.5966,93.2276,5396.0,4.50457,0.9
406672232,309.353641,22.654366,54.072,-57.845,1.0214555,1.252,319.0,1.46266,733.19,1449.0,8.5325,46.5539,5098.0,4.54682,0.82
416195870,287.242092,57.344126,12.159,-13.194,2.7441672,1.418,5650.0,7.84317,172.233,1009.0,10.634,141.755,5040.0,4.38482,0.97
198241702,249.69664,64.559181,-40.011,107.858,9.2378703,2.535,660.0,2.22995,54.6767,757.0,10.9897,172.138,5591.0,4.38111,0.85
459969957,254.816154,65.747438,-72.167,74.449,19.3203478,4.215,13910.0,9.38964,13.544,534.0,11.8994,178.141,4968.1,4.5,0.8
153949511,172.747799,66.796529,-50.76,-14.091,14.8559691,3.711,1127.0,2.72638,64.0545,788.0,9.76775,100.772,5544.0,4.5609,0.86
230017324,291.465322,61.776153,18.992,-23.14,9.6926392,3.0182304,1838.2370548,3.289074,36.4257934,626.5734732,10.6355,92.4381,4665.0,4.56182,0.746003
232971294,199.442645,71.721051,-13.194,-12.668,6.390888,3.766,435.0,2.47201,376.532,1227.0,9.6635,178.259,6191.0,4.27017,1.32
277507814,310.953619,59.576628,4.308,5.852,0.6166953,0.712,1089.0,10.4852,12724.9,2958.0,10.1653,278.771,6588.0,4.1855,1.57
352764091,308.747621,63.474938,33.773,-88.306,9.6001126,4.9882857,380.4193796,2.4070295,193.1543783,950.8147029,8.593,92.7225,5891.0,4.30161,1.2103699
198186769,245.818009,62.925121,-5.999,13.59,7.16199,7.668,800.0,5.05452,1230.42,1649.0,10.8722,428.123,6229.0,4.0,1.81
202504234,230.310094,63.565285,20.745,-37.786,1.6849938,0.916,990.0,3.76716,342.918,1198.0,10.8605,239.983,5923.0,4.38,1.11
356867115,275.862543,71.581748,-43.319,85.838,,8.0555709,2143.3712267,4.258255,0.2347069,177.5215972,10.5216,90.8693,4820.4,4.6,0.731699
441797803,264.378942,73.261193,-5.07,24.524,5.6666168,3.604,9780.0,14.8589,442.536,1277.0,10.6724,339.455,6530.0,4.23,1.47
236815160,283.637489,59.763193,-0.2,29.6,2.534612,1.978,5185.2815163,,336.934,1193.0,10.7967,,5009.6,,
235037761,353.828713,-64.561917,192.826,-31.069,6.2407826,1.513,6114.0,16.0959,41.7384,708.0,9.8567,,4174.0,4.34197,0.9
378159598,294.722734,41.565154,5.862,6.005,6.1406417,2.3525428,9437.1831553,26.5174686,2040.1072476,1714.087545,10.5819,556.813,8298.0,4.19,1.87493
167092385,318.724623,38.094232,4.6,3.1,4.9865029,2.441,1341.0,,,,10.151,343.728,,,
167403519,319.32501,38.104855,-4.5,-15.0,3.9729429,3.653,4558.0,,,,10.334,340.289,,,
240450679,323.527361,46.931774,1.396,-3.34,3.37644,1.437,5791.2,,1059.26,1589.0,10.0819,713.725,8639.7,3.96,
312083267,303.295223,36.725485,0.684,-0.593,3.9392211,2.379,1468.0,27.6744,11779.7,2902.0,8.38189,457.792,8715.0,3.55,4.12
219338557,354.397374,-58.955078,196.638,-102.545,8.1995368,2.1168277,903.3694431,1.9226211,26.2353114,577.2199136,9.9762,48.6326,4028.0,4.55902,0.650533
160487753,238.031812,74.406742,0.719,11.14,8.47134,6.989,540.0,16.9325,3465.35,2137.0,10.8049,788.93,5146.0,,4.88
272635712,231.162129,67.464751,23.918,-46.859,12.71672,2.529,388.126,2.7546,34.1387,673.0,9.34822,130.242,5711.1,4.24,1.27
233953967,305.395161,56.462656,5.775,6.967,5.5402372,7.713,2710.0,17.4013,2282.41,1925.0,10.3589,598.635,6415.0,3.49,3.39
1718201850,286.746549,71.712195,-42.869,2.803,5.9294089,2.928,14536.0,,,,10.3267,125.308,,,
336740528,334.738559,61.148988,14.02,12.843,5.2958813,2.882,5100.0,13.3622,414.975,,10.4209,315.0431,5958.7,,1.93
372264750,331.307643,66.775296,15.593,7.409,2.1702725,2.1417853,5156.7735359,15.2590586,11706.9549101,2652.9602078,8.65269,248.148,9218.0,4.27,1.8527499
277566483,311.19458,54.502161,-3.497,-5.428,24.2544697,17.486,8802.0,,1556.33,1749.0,8.9468,4772.59,8381.3,,
277447970,320.829517,52.8147,1.433,-8.256,2.237462,2.991,4281.0,10.2256,3143.23,2085.0,10.2202,339.994,7050.0,4.19,1.66
395142888,335.300845,59.560814,-1.229,-1.765,1.9173816,1.466,664.0,17.5081,1941.36,1849.0,9.7736,975.533,8129.0,,7.39
26880783,293.44357,53.464527,-3.099,-7.254,1.7753644,2.034,878.0,9.49405,7558.32,2597.0,9.2118,595.288,9598.0,3.81,3.23
162130054,331.117705,31.018767,4.53,-1.516,5.0095595,3.353,8700.0,36.2553,2088.59,1883.0,9.948,302.295,6527.0,4.11,1.75
252490659,344.35978,53.140835,-1.37,-12.577,1132.0244686,4.119,18121.2,30.6957,449.947,1283.0,10.3842,366.242,5984.0,3.98,2.07
277683130,328.926018,-61.673257,-23.8,2.8,6.1982658,1.912,3896.0,7.84585,234.343,,9.5739,128.488,5722.0,4.35582,1.11
275722992,318.784961,44.899679,-4.862,-8.024,6.5601782,4.058,2474.0,28.2675,20126.7,3318.0,10.379,737.108,9976.0,4.01,2.62
353038705,333.131944,31.364667,1.0,-2.6,3.062624,1.767,580.0,,204.269,1053.0,9.957501,,5086.8,,
66445643,341.386298,48.161556,-2.432,-6.636,6.5560604,2.703,861.0,13.1465,1056.97,1588.0,8.6291,648.398,8918.0,3.51,4.58
140068425,330.301777,-49.060077,32.489,-15.438,2.2813432,1.1601933,1126.6619488,12.7387194,5760.9720984,2221.9981475,9.7828,337.105,6174.0,4.27404,2.35511
352239069,292.196087,58.614764,2.189,1.72,6.8674054,3.488,779.0,2.4024,297.944,1157.0,10.9425,247.074,6051.5,4.48,1.03
352239069,292.196087,58.614764,2.189,1.72,14.431887,3.265,1687.0,3.73311,52.4908,749.0,10.9425,247.074,6051.5,4.48,1.03
115771549,339.815915,33.889459,-9.2,-6.3,4.7182888,4.046,3000.0,15.2763,876.886,1516.0,8.3764,83.2324,6112.0,,2.74
116483734,233.065833,47.860746,122.467,-70.663,4.731977,0.361,3470.0,6.97384,3.01841,367.0,11.0997,81.0643,4223.45,4.61744,0.66
119700084,333.253171,37.627574,37.32,-38.196,6.1182129,0.6671441,1805.1895773,6.1579891,149.0299553,891.1240042,10.1188,115.417,5427.0,4.51461,0.890109
125442121,351.579721,38.55294,3.164,-8.173,3.0197807,3.5896763,12016.7483851,17.9176077,2558.7198805,1813.9505159,11.029,460.951,7128.0,4.23768,1.58815
148782377,219.037047,42.378458,-59.935,42.482,14.4204896,5.1737619,1061.4991496,4.7909139,186.8796664,942.9968937,8.39816,112.152,6383.0,4.24518,1.41048
425934411,4.60586,-62.847875,6.11,5.18,0.8533534,1.2018737,25080.3290695,12.600718,262.1025386,1026.213105,14.7109,320.237,3658.0,4.438,0.608076
329277372,332.630396,57.282437,4.661,25.274,2.8879675,3.6626399,23489.3314084,,634.2192374,1279.9105013,10.5998,74.2281,5780.0,4.438,
418959198,344.907267,36.517666,3.639,5.359,4.8962484,2.362418,1186.0289925,3.5246468,95.080851,796.4215716,10.5152,86.8203,4528.99,4.48318,0.799965
350132371,329.091358,68.998035,39.456,-35.754,1.0318213,1.599,5577.0,28.2906,8422.18,2668.0,9.25755,153.904,5810.6,4.13,1.49
256783784,329.401792,36.321404,42.513,-43.798,6.1095756,2.441,510.0,2.19963,117.102,916.0,9.4653,95.1757,5587.0,4.51,0.91
13684720,305.538257,36.064784,44.041,49.286,12.4379715,1.7137815,123693.2601599,24.6478297,3.4868062,348.5191947,12.4647,67.9631,3275.0,4.75761,0.476997
138588540,176.380591,65.541314,1.358,76.389,29.871853,4.6960535,712.5668187,2.4078494,12.0302137,474.9939578,8.0621,37.7873,5393.86,4.67802,0.735511
153976959,203.537946,67.62123,89.429,-98.354,0.6858178,1.3936363,148.2277582,0.9996714,2010.0397143,1707.7366899,9.9802,92.8659,5142.0,4.54622,0.82354
154383539,215.602155,55.334259,-39.877,135.926,0.8675883,1.3814953,321.4840933,1.4302423,1118.0589981,1474.8095115,11.0906,131.601,5011.22,4.6136,0.74524
233617847,283.794562,64.53137,5.121,7.189,15.5174519,5.322,434.0,2.43592,207.048,1056.0,9.80972,237.152,5780.0,4.438,1.34
233617847,283.794562,64.53137,5.121,7.189,4.6274206,4.6582573,152.4142924,1.43332,557.8163511,1239.4886654,9.80972,237.152,5780.0,4.438,1.34
233951353,305.412906,58.140828,-24.562,-83.286,22.092974,5.813,435.0,2.33525,64.932,790.0,9.48477,141.133,5885.0,4.27782,1.24
259172391,292.76774,71.497358,4.791,-6.731,9.8130697,3.91,630.0,2.67352,175.261,1013.0,10.6074,215.246,6240.0,4.46607,1.06
259172391,292.76774,71.497358,4.791,-6.731,4.7842093,2.947,390.0,2.14401,428.772,1267.0,10.6074,215.246,6240.0,4.46607,1.06
294471966,302.001457,51.361796,9.093,-25.93,6.3170657,2.4466954,688.3375977,2.4720516,108.3220651,822.8089031,10.7502,133.863,5180.0,4.54308,0.83031
294471966,302.001457,51.361796,9.093,-25.93,4.5057387,1.885675,428.7456455,1.7133121,169.9741138,920.906304,10.7502,133.863,5180.0,4.54308,0.83031
356158613,300.708664,39.668371,146.31,51.616,2.3691849,1.6840374,699.3113402,1.614201,427.9831307,1160.0492093,10.745,56.3228,5780.0,4.64751,0.604385
265612438,333.174716,-55.978803,-5.816,-4.917,5.13002,4.78,3376.0,8.86428,842.866,1501.0,11.6789,438.421,5430.7,4.4,1.58
294179385,300.842307,53.294181,7.356,-13.367,2.6794168,2.988801,13578.3447901,13.6925582,1027.9022729,1444.134709,11.1612,289.372,6075.0,4.38,1.14394
387259626,308.670288,66.440384,33.7,20.793,3.6231364,2.385,17749.0,18.4921,483.742,1306.0,10.1543,245.692,6458.8,4.32,1.35
176860064,354.836651,45.719851,-4.6,-10.7,6.3768174,2.752,2760.0,,774.775,1469.0,7.1145,41.2482,6393.0,,
44631965,22.236394,35.864854,31.744,9.327,3.5686777,2.5811179,20121.1854664,20.2503751,876.963913,1387.9223847,11.3805,359.959,6046.0,4.26929,1.28529
229944666,288.384969,62.203124,14.258,13.052,11.3125266,2.5943007,861.7265878,2.686447,56.1140618,698.0518398,10.8597,151.654,5290.0,4.53286,0.854841
237086564,307.396532,61.550725,71.523,67.97,1.8718991,1.475,920.0,2.40733,167.099,1001.0,11.0278,86.5783,4201.0,4.5079,0.75
431514478,357.001275,49.790533,13.987,-0.414,8.4953513,0.9060555,718.4869448,5.2961699,2555.3062468,1813.345207,8.77994,294.237,10012.0,4.29876,1.88016
252616865,345.994881,52.562695,31.629,10.924,5.7121916,4.775,7555.0,15.4584,1009.66,1570.0,10.0687,318.277,6720.0,4.09,1.79
260985861,76.635176,-80.768009,-7.91,22.707,3.3399432,4.2534704,9074.0787832,,522.4427099,1219.3519117,10.8727,380.81,5095.6,,
283474780,13.017676,36.393013,51.364,17.95,3.9943,4.876,550.0,11.9767,746.666,1456.0,8.39511,247.112,4939.0,,5.11
